rank	contract_address	label	category
0	dac17f958d2ee523a2206206994597c13d831ec7	Tether USD (USDT)	defi
1	c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2	Wrapped Ether (WETH)	defi
2	a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	USD Coin (USDC)	defi
3	6b175474e89094c44da98b954eedeac495271d0f	Dai Stablecoin (DAI)	defi
4	514910771af9ca656af840dff83e8264ecf986ca	ChainLink Token (LINK)	other
5	174bfa6600bf90c885c7c01c7031389ed1461ab9	More Gold Coin (MGC)	defi
6	95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce	SHIBA INU (SHIB)	defi
7	990f341946a3fdb507ae7e52d17851b87168017c	Strong (STRONG)	defi
8	58b6a8a3302369daec383334672404ee733ab239	Livepeer Token (LPT)	multimedia
9	03cb0021808442ad5efb61197966aef72a1def96	coToken (coToken)	defi
10	1f573d6fb3f13d689ff844b4ce37794d79a7ff1c	Bancor (BNT)	defi
11	7d1afa7b718fb893db30a3abc0cfc608aacfebb0	Matic Token (MATIC)	layer-2
12	0d8775f648430679a709e98d2b0cb6250d2887ef	BAT (BAT)	content
13	2260fac5e5542a773aa44fbcfedf7c193bc2c599	Wrapped BTC (WBTC)	defi
14	d26114cd6ee289accf82350c8d8487fedb8a0c07	OMG Network (OMG)	layer-2
15	86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0	EOS (EOS)	layer-2
16	2b591e99afe9f32eaa6214f7b7629768c40eeb39	HEX.com: HEX Token	defi
17	1f9840a85d5af5bf1d1762f925bdaddc4201f984	Uniswap Protocol: UNI token	defi
18	8e870d67f660d95d5be530380d0ec0bd388289e1	Paxos Standard (PAX)	defi
19	6b3595068778dd592e39a122f4f5a5cf09c90fe2	SushiSwap: SUSHI Token	defi
20	89d24a6b4ccb1b6faa2625fe562bdd9a23260359	Sai Stablecoin v1.0 (SAI)	defi
21	f230b790e05390fc8295f4d3f60332c93bed42e2	Tronix (TRX)	blockchain
22	e62e6e6c3b808faad3a54b226379466544d76ea4	Liberty Cash (LCS)	defi
23	9813037ee2218799597d83d4a5b6f3b6778218d9	ShibaSwap: BONE Token	defi
