rank	contract_address	label	symbol	possible_spam	verified_collection	category
0	57f1887a8bf19b14fc0df6fd9b2acc9af147ea85	Ethereum Name Service	ENS	False	True	domain-names
1	0e3a2a1f2146d86a604adc220b4967a898d7fe07	Gods Unchained Cards	CARD	False	True	gaming
2	629a673a8242c2ac4b7b8c5d8735fbeac21a6205	Sorare	SOR	False	True	gaming
3	a7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270	Art Blocks	BLOCKS	False	True	art
4	3b3ee1931dc30c1957379fac9aba94d1c48a5405	Foundation	FND	False	True	art
5	8c9b261faef3b3c2e64ab5e58e04615f8c788099	LucidSight-MLB-NFT	MLBCB	False	True	gaming
6	50f5474724e0ee42d9a4e711ccfb275809fd6d4a	Sandbox's LANDs	LAND	False	False	virtual-worlds
7	81ece0e53af51cfb819c57dc24845e46b90b27fb	DusktopiaNFT	DUSK	True	False	None
8	bd13e53255ef917da7557db1b7d2d5c38a2efe24	DozerDoll	Dozer	False	False	None
9	999e88075692bcee3dbc07e7e64cd32f39a1d3ab	Wizards & Dragons Game	WnD	False	False	gaming
10	87e738a3d5e5345d6212d8982205a564289e6324	Fighter	FIGHTER	False	True	pfps
11	ea4d123d17b7ab200533388521ae005bfefd8e26	Dusk Topia	DT	True	False	None
12	f87e31492faf9a91b02ee0deaad50d51d56d5d4d	Decentraland LAND	LAND	False	True	virtual-worlds
13	1d963688fe2209a98db35c67a041524822cf04ff	MARBLE-NFT	MRBLNFT	False	False	art
14	273f7f8e6489682df756151f5525576e322d51a3	MyCryptoHeroes:Hero	MCHH	False	True	gaming
15	60b74dea92950b9f6564b2c5a7d20482f20f6dc1	Ecotars	ECO	True	False	None
16	34d85c9cdeb23fa97cb08333b511ac86e1c4e258	Otherdeed	OTHR	False	True	virtual-worlds
17	dceaf1652a131f32a821468dc03a92df0edd86ea	MyCryptoHeroes:Extension	MCHE	False	True	gaming
18	66fca7555cd481545a5e66ba9a2bec1e256f98e7	GoldHunter	GOLDH	False	False	gaming
19	163f4d81d86ac282a0f0f94d9fe3e0321accfd37	Great Goats	GOAT	True	False	None
20	82315517d61ecf47f9a78705127934f3d431cb21	FaceX	FAX	True	False	None
21	c71a726d390bf02b4af8920c0820970310d0f367	MekaApes Game	MAG	False	True	gaming
22	27b4bc90fbe56f02ef50f2e2f79d7813aa8941a7	gego.dego	GEGO	True	True	art
23	60e4d786628fea6478f785a6d7e704777c86a7c6	MutantApeYachtClub	MAYC	False	True	pfps
24	0e9d6552b85be180d941f1ca73ae3e318d2d4f1f	Metroverse City Block	METROBLOCK	False	True	gaming
25	aadba140ae5e4c8a9ef0cc86ea3124b446e3e46a	MutantCats	MUTCATS	False	True	pfps
26	534c37fb1fca365b7613e1567221da6876b7edcc	Great Goats NFT	GGN	True	False	None
27	bc4ca0eda7647a8ab7c2061c2e118a18a936f13d	BoredApeYachtClub	BAYC	False	True	pfps
28	bad6186e92002e312078b5a1dafd5ddf63d3f731	Anonymice	MICE	False	True	pfps
29	5f4a54e29ccb8a02cdf7d7bfa8a0999a8330cced	Reptile Armoury	ARMS	False	True	gaming
30	8b77cbe5f54f82ea5d2906ba6a11f9dd55736f58	Primates	PRIMATE	True	False	None
31	acd91de02b845a0cb85b81b63845737d834844ea	Oak Paradise NFT	OPN	True	False	None
32	8a90cab2b38dba80c64b7734e58ee1db38b8992e	Doodles	DOODLE	False	True	pfps
33	93a796b1e846567fe3577af7b7bb89f71680173a	ChainFaces Arena	ლ⚈෴⚈ლ	False	True	art
34	fe8c6d19365453d26af321d0e8c910428c23873f	Cold Blooded Creepz	CBC	False	False	None
35	7bd29408f11d2bfc23c34f18275bbf23bb716bc7	Meebits	⚇	False	True	pfps
36	ed5af388653567af2f388e6224dc7c4b3241c544	Azuki	AZUKI	False	True	pfps
37	7ab2352b1d2e185560494d5e577f9d3c238b78c5	Adam Bomb Squad	ABS	False	True	art
38	b932a70a57673d89f4acffbe830e8ed7f75fb9e0	SuperRare	SUPR	False	True	art
39	1a92f7381b9f03921564a437210bb9396471050c	Cool Cats	COOL	False	True	pfps
40	bce3781ae7ca1a5e050bd9c4c77369867ebc307e	goblintown	GOBLIN	True	False	None
41	c2c747e0f7004f9e8817db2ca4997657a7746928	Hashmasks	HM	False	True	pfps
42	7ea3cca10668b8346aec0bf1844a49e995527c8b	CyberKongz VX	KONGZ VX	False	True	pfps
43	364c828ee171616a39897688a831c2499ad972ec	Sappy Seals	SAPS	False	True	pfps
44	ebbd75122a9e292b5205d9a374b5ea2c1933f903	LOOK LABS 420 Buds	BUDS	False	False	gaming
45	bd3531da5cf5857e7cfaa92426877b022e612cf8	PudgyPenguins	PPG	False	True	pfps
46	49cf6f5d44e70224e2e23fdcdd2c053f30ada28b	CloneX	CloneX	False	True	pfps
47	bd4455da5929d5639ee098abfaa3241e9ae111af	NFT Worlds	NFT Worlds	False	True	virtual-worlds
48	ba30e5f9bb24caa003e9f2f0497ad287fdf95623	BoredApeKennelClub	BAKC	False	True	pfps
49	8bc67d00253fd60b1afcce88b78820413139f4c6	CryptoFlowers	CF	False	False	gaming
50	f62c6a8e7bcdc96cda11bd765b40afa9ffc19ab9	HeadDAO	HEAD	False	False	pfps
51	ca7ca7bcc765f77339be2d648ba53ce9c8a262bd	Tubby Cats	TUBBY	False	True	pfps
52	219b8ab790decc32444a6600971c7c3718252539	Sneaky Vampire Syndicate	SVS	False	True	pfps
53	716039ab9ce2780e35450b86dc6420f22460c380	Cool Monkes	CMNKS	False	True	pfps
54	60f80121c31a0d46b5279700f9df786054aa5ee5	Rarible	RARI	True	False	art
55	123b30e25973fecd8354dd5f41cc45a3065ef88c	ALIENFRENS	ALIENFRENS	False	True	pfps
56	9ca8887d13bc4591ae36972702fdf9de2c97957f	HUXLEY Comics	HUXLEY	False	True	art
57	2acab3dea77832c09420663b0e1cb386031ba17b	DeadFellaz	DEADFELLAZ	False	True	art
58	3abedba3052845ce3f57818032bfa747cded3fca	Ether Orcs Genesis	Orcs	False	True	gaming
59	dbcab7a768ea9a00b2ffa5a2eb387cad609e2114	Alpha Kongs Club	AKC	False	True	pfps
60	e785e82358879f061bc3dcac6f0444462d4b5330	World Of Women	WOW	False	True	pfps
61	5d00d312e171be5342067c09bae883f9bcb2003b	EtheremonMonster	EMONA	False	True	gaming
62	0419791b7874f7bb719acc521a4dc8f95d7880d5	DusktopiaNFT	DUSK	True	False	None
63	85f740958906b317de6ed79663012859067e745b	TheWickedCraniums	TWC	False	True	pfps
64	c92ceddfb8dd984a89fb494c376f9a48b999aafc	Creature World	CREATURE	False	True	art
65	9f9b2b8e268d06dc67f0f76627654b80e219e1d6	pieceofshit	SHIT	False	True	art
66	76b3af5f0f9b89ca5a4f9fe6c58421dbe567062d	NotOkayBears	NOB	False	True	pfps
67	f026fb5be56ff63e19e9da3236035e80e5780663	ShadowQuest	SQ	False	True	gaming
68	8943c7bac1914c9a7aba750bf2b6b09fd21037e0	Lazy Lions	LION	False	True	pfps
69	a5c0bd78d1667c13bfb403e2a3336871396713c5	CoolmansUniverse	COOLMAN	False	True	pfps
70	306b1ea3ecdf94ab739f1910bbda052ed4a9f949	Beanz	BEANZ	False	True	pfps
71	9378368ba6b85c1fba5b131b530f5f5bedf21a18	VeeFriends Series 2	VF2	False	True	pfps
72	79fcdef22feed20eddacbb2587640e45491b757f	mfer	MFER	False	True	pfps
73	67421c8622f8e38fe9868b4636b8dc855347d570	Squishiverse	SQUISHIE	False	True	pfps
74	092bbc993042a69811d23feb0e64e3bfa0920c6a	Gutter Juice	JUICE	False	True	art
75	7e6bc952d4b4bd814853301bee48e99891424de0	Jungle Freaks	JFRK	False	True	pfps
76	86c10d10eca1fca9daf87a279abccabe0063f247	Cool Pets	PETS	False	True	pfps
77	64b6b4142d4d78e49d53430c1d3939f2317f9085	AIMoonbirds	MBAI	False	True	pfps
78	caace84b015330c0ab4bd003f6fa0b84ec6c64ac	Flower Fam	FF	False	True	pfps
79	7f36182dee28c45de6072a34d29855bae76dbe2f	Wolf Game	WGAME	False	True	gaming
80	1a2f71468f656e97c2f86541e57189f59951efe7	CryptoMories	CRYPTOMORIES	False	True	pfps
81	9712228ceeda1e2ddde52cd5100b88986d1cb49c	Wulfz	WULFZ	False	True	pfps
82	9b8b9c7c02be0bd0aa4d669bf6a1f6003424c6dc	The Association NFT	ASSOC	False	True	pfps
83	c799f57355677a19b91c722734743215513dece5	ShatteredEon	Colonists	False	False	pfps
84	701a038af4bd0fc9b69a829ddcb2f61185a49568	Kiwami	KIWAMI	False	True	pfps
85	3ed7dfaca773b90da1bc3fa8b04656c917d33afb	Ape Invaders	AI	False	True	gaming
86	1cb1a5e65610aeff2551a50f76a87a7d3fb649c6	Cryptoadz	TOADZ	False	True	art
87	5eaeadda470245343249452e744e423f489abbc4	Elftown.wtf	ELFT	True	False	pfps
88	cfff4c8c0df0e2431977eba7df3d3de857f4b76e	RiverMen	RM	False	True	gaming
89	5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38	Sandbox's LANDs	LAND	False	True	virtual-worlds
90	3a5051566b2241285be871f650c445a88a970edd	The Humanoids	HMNDS	False	True	pfps
91	96316355c44be69414756d6706c61e61aecbd5f3	Cosmic Labs	CLABS	False	False	pfps
92	fcb1315c4273954f74cb16d5b663dbf479eec62e	Capsule	CAPSULE	False	True	pfps
93	d1e5b0ff1287aa9f9a268759062e4ab08b9dacbe	.crypto	UD	False	True	domain-names
94	05a46f1e545526fb803ff974c790acea34d1f2d6	n	N	False	True	None
95	ce50f3ca1f1dbd6fa042666bc0e369565dda457d	The Heart Project	HEARTS	False	True	pfps
96	b4d06d46a8285f4ec79fd294f78a881799d8ced9	3Landers	3L	False	False	pfps
97	4f89cd0cae1e54d98db6a80150a824a533502eea	Groupies	GROUPIE	False	True	pfps
98	d3605059c3ce9facf625fa72d727508b7b7f280f	Pablos	Pablos	False	True	pfps
99	4b61413d4392c806e6d0ff5ee91e6073c21d6430	MURI	MURI	False	True	pfps
